Year,world_population
1900,1647405022.0
1901,1658785643.0
1902,1672564382.0
1903,1687012805.0
1904,1701647404.0
1905,1716473051.0
1906,1731494784.0
1907,1746736854.0
1908,1762200207.0
1909,1777067748.0
1910,1793323592.0
1911,1804920684.0
1912,1817990952.0
1913,1830461187.0
1914,1843131589.0
1915,1855949027.0
1916,1868851504.0
1917,1881853176.0
1918,1895037042.0
1919,1909044309.0
1920,1926217425.0
1921,1939587826.0
1922,1955971631.0
1923,1973057174.0
1924,1990416385.0
1925,2008052088.0
1926,2025945381.0
1927,2044097070.0
1928,2062543972.0
1929,2081683468.0
1930,2104067378.0
1931,2122176586.0
1932,2143517525.0
1933,2165540428.0
1934,2187836793.0
1935,2210412972.0
1936,2233367401.0
1937,2256671866.0
1938,2280342907.0
1939,2303096438.0
1940,2327357739.0
1941,2344788534.0
1942,2363887111.0
1943,2381758939.0
1944,2399659920.0
1945,2417413700.0
1946,2435048602.0
1947,2454045831.0
1948,2474648090.0
1949,2500821769.0
1950,2536603812.0
1951,2584032164.0
1952,2630859573.0
1953,2677606890.0
1954,2724844537.0
1955,2773017669.0
1956,2822440981.0
1957,2873303774.0
1958,2925684387.0
1959,2979573843.0
1960,3035157874.0
1961,3091841184.0
1962,3150418417.0
1963,3210998576.0
1964,3273975895.0
1965,3339581125.0
1966,3407920262.0
1967,3478767745.0
1968,3551597095.0
1969,3625678632.0
1970,3700683331.0
1971,3775757664.0
1972,3851648179.0
1973,3927778060.0
1974,4003791660.0
1975,4079477877.0
1976,4154664135.0
1977,4229503106.0
1978,4304530678.0
1979,4380503163.0
1980,4458271867.0
1981,4536993517.0
1982,4617383415.0
1983,4699566074.0
1984,4784008324.0
1985,4870918295.0
1986,4960564329.0
1987,5052517922.0
1988,5145421459.0
1989,5237436461.0
1990,5327523733.0
1991,5414283747.0
1992,5498914042.0
1993,5581591568.0
1994,5663144243.0
1995,5744206564.0
1996,5824885367.0
1997,5905038883.0
1998,5984787097.0
1999,6064231834.0
2000,6143769205.0
2001,6222904801.0
2002,6302054308.0
2003,6381469155.0
2004,6461446293.0
2005,6542196775.0
2006,6623810661.0
2007,6706242369.0
2008,6789387368.0
2009,6873068693.0
2010,6957128287.0
2011,7041500151.0
2012,7126135231.0
2013,7210890609.0
2014,7295600645.0
2015,7380108174.0
2016,7464334487.0
2017,7548172801.0
2018,7631081286.0
2019,7713458350.0
2020,7794788840.0
2021,7874955821.0
2022,7953942626.0
