Survived,Name,Sex,Age,Marital Status,Family
1,Patrick Breen,M,51,M,Breen
1,Margaret Breen,F,40,M,Breen
1,John Breen,M,14,S,Breen
1,Patrick Breen Jr.,M,9,S,Breen
1,Simon Preston Breen,M,8,S,Breen
1,James Frederick Breen,M,5,S,Breen
1,Peter Breen,M,3,S,Breen
1,Isabella Breen,F,1,S,Breen
1,James Frazier Reed,M,45,M,Reed
1,Margaret Keyes Reed,F,32,M,Reed
1,Virginia BackenstoeReed,F,13,S,Reed
1,Martha Jane Reed,F,8,S,Reed
1,James F. Reed Jr.,M,5,S,Reed
1,Thomas Keyes Reed,M,3,S,Reed
0,Sarah Keyes Reed,F,70,W,Reed
0,George Donner,M,62,M,Donner
0,Tamzene Donner,F,45,M,Donner
1,Elitha Donner,F,14,S,Donner
1,Frances Donner,F,6,S,Donner
1,Georgia Donner,F,4,S,Donner
1,Eliza Donner,F,3,S,Donner
1,Leanna Charity Donner,F,11,S,Donner
0,Jacob Donner,M,56,M,Donner
0,Elizabeth Donner,F,38,M,Donner
1,Solomon Hook,M,14,S,Donner
1,George Donner(the younger),M,10,S,Donner
1,Mary Donner,F,7,S,Donner
0,Isaac Donner,M,5,S,Donner
0,Samuel Donner,M,4,S,Donner
0,Lewis Donner,M,3,S,Donner
1,William Eddy,M,28,M,Eddy
0,Eleanor Eddy,F,25,M,Eddy
0,James Eddy,M,3,S,Eddy
0,Margaret Eddy,F,1,S,Eddy
0,Franklin Graves,M,57,M,Graves
1,Elizabeth Graves,F,46,M,Graves
1,Mary Ann Graves,F,20,S,Graves
1,William Graves,M,17,S,Graves
1,Eleanor Graves,F,14,S,Graves
1,Lovina Graves,F,12,S,Graves
1,Jonathan Graves,M,7,S,Graves
0,Elizabeth Graves(the younger),F,1,S,Graves
0,Franklin Graves Jr.,M,5,S,Graves
1,Sarah Graves Fosdick,F,21,M,Graves
0,Jay Fosdick,M,23,M,Graves
0,Levinah Murphy,F,36,W,Murphy
1,Sarah Ann Murphy,F,19,M,Murphy
1,Simon Peter Murphy,M,8,S,Murphy
0,John Landrum Murphy,M,16,S,Murphy
0,Lemuel Murphy,M,13,S,Murphy
1,William Murphy,M,10,S,Murphy
1,Sarah Ann Foster,F,20,M,Foster
1,William Foster,M,31,M,Foster
1,Jeremiah Foster,M,2,S,Foster
0,William Pike,M,32,M,Pike
1,Harriet Murphy Pike,F,18,M,Pike
1,Naomi Pike,F,2,S,Pike
0,Catherine Pike,F,1,S,Pike
1,William McCutchen,M,30,M,McCutchen
0,Amanda McCutchen,F,23,M,McCutchen
1,Harriet McCuthen,F,1,S,McCutchen
0,Jacob Wolfinger,M,,M,Wolfinger
1,Doris Wolfinger,M,20,M,Wolfinger
1,Lewis Keseberg,M,32,M,Keseberg
1,Philippine Keseberg,F,23,M,Keseberg
0,Ada Keseberg,F,3,S,Keseberg
0,Lewis Keseberg Jr.,M,5.5,S,Keseberg
0,Antonio,M,23,S,Other
0,Augustus Spitzer,M,30,S,Other
0,Baylis Williams,M,25,S,Other
0,Charles Burger,M,30,S,Other
0,Charles Stanton,M,35,S,Other
0,Hardcoop,M,60,S,Other
1,Hiram Miller,M,29,S,Other
0,James Smith,M,25,S,Other
1,Jean Baptiste Trudeau,M,16,S,Other
0,John Denton,M,28,S,Other
0,John Snyder,M,25,S,Other
0,Joseph Reinhardt,M,30,S,Other
0,Luke Halloran,M,25,S,Other
0,Luis,M,,S,Other
0,Salvador,M,,S,Other
0,Milt Elliot,M,28,S,Other
1,Noah James,M,16,S,Other
0,Patrick Dolan,M,35,S,Other
1,Walter Herron,M,27,S,Other
0,Samuel Shoemaker,M,25,S,Other
1,Eliza William,F,31,S,Other
0,William Hook,M,12,S,Other
